ubigeo,periodo,departamento,provincia,distrito,ranking,irsip,nivel,percentil,rezago_conflictos,ejecucion_pct,canon_pc,mineria_pc,monto_canon,canon_12m,pim_canon,devengado_canon,mineria_12m,poblacion,n_rezago_conflictos,n_ejecucion_canon,n_canon_pc,n_mineria_pc,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria,irsip_bruto
030506,2026-02-01,Apurímac,Cotabambas,Challhuahuacho,1,74.56,Alto,100,4,4.201390236277627,3621.489051375506,655728.0647006908,121084.62,72534804.21000001,307673312,12925836.49,13133577407.890137,20029,0.5,0.6504494976203067,0.6930341276570655,0.8262334755287922,0.3055,-0.10862506610259122,0.07692678816993427,0.09171191578369593,0.36551363785103896
180106,2026-02-01,Moquegua,Mariscal Nieto,Torata,2,60.64,Alto,99.9,2,2.254211765817821,27259.73447344599,2999682.2404461484,25450872.78,180677520.09000003,199841714,4200315.16,19881893889.67707,6628,0.25,0.5071390798519302,0.863718118023491,0.9200326708067338,0.15275,-0.08469222633527235,0.0958727111006075,0.10212362645954745,0.2660541112248826
190111,2026-02-01,Pasco,Pasco,Tinyahuarco,3,55.04,Medio,99.9,1,0,793.2362134522094,332482.1342640828,399367.29,6050012.6000000015,10889647,0,2535841238.03216,7627,0.125,0,0.5646979773106526,0.7843367785430323,0.076375,-0,0.06268147548148244,0.08706138241827659,0.22611785789975902
150901,2026-02-01,Lima,Oyón,Oyon,4,53.22,Medio,99.8,2,2.0038196949074956,524.911155087481,170747.28333082196,769640.57,6180303.940000001,18795742,297842.08,2010378513.9370975,11774,0.25,0.4849286092014807,0.5298346129667926,0.7432272266227,0.15275,-0.08098307773664727,0.05881164203931397,0.0824982221551197,0.2130767864577864
160305,2026-02-01,Loreto,Loreto,Urarinas,5,52.14,Medio,99.8,4,3.445491428803983,0.004845489111648808,0,0.28,70.09,18821994,447510.19,0,14465,0.5,0.5996827075621365,4.087875271232861e-4,0,0.3055,-0.1001470121628768,4.5375415510684757e-5,0,0.2053983632526339
021014,2026-02-01,Áncash,Huari,San Marcos,6,50.96,Medio,99.7,1,1.2651887152120969,19193.85343357443,1103471.8690933166,40999530.839999996,403378023.7600002,1150266333,14112618.32,23190564800.865143,21016,0.125,0.4029613960867266,0.8340509512007488,0.8583408109922098,0.076375,-0.06729455314648335,0.09257965558328311,0.09527583002013529,0.19693593245693505
021802,2026-02-01,Áncash,Santa,Cáceres del Perú,7,48.79,Medio,99.7,2,2.2825316183089446,754.0160070827801,1787.9554674327892,277867.88,3406644.3200000003,9528261,126150,8077982.801861342,4518,0.25,0.5076679005817029,0.5604152479983722,0.462013740645653,0.15275,-0.08478053939714439,0.062206092527819314,0.05128352521166748,0.1814590783423424
120108,2026-02-01,Junín,Huancayo,Chongos Alto,8,47.76,Medio,99.6,1,0,77.39450896057353,3996.3304265837514,5173.12,107965.34000000008,338980,0,5574880.945084333,1395,0.125,0,0.36886821769813366,0.5116114782008315,0.076375,-0,0.040944372164492836,0.0567888740802923,0.17410824624478513
130809,2026-02-01,La Libertad,Pataz,Pataz,9,44.09,Medio,99.6,1,0.6253063763067419,2006.0111895294897,3636.2903344030137,2531653.56,24216567.08,49244996,307932.1,43897296.91691318,12072,0.125,0.3352723426758329,0.6430950158133167,0.5057887802610337,0.076375,-0.0559904812268641,0.07138354675527817,0.05614255460897474,0.14791062013738882
101007,2026-02-01,Huánuco,Lauricocha,San Miguel de Cauri,10,43.64,Medio,99.5,1,1.6313028293556173,400.2271180931743,270703.02392043517,300912.76,1477638.5199999996,3324856,54238.47,999435564.3142467,3692,0.125,0.44103648863035433,0.5069499074320687,0.7716557724651876,0.076375,-0.07365309360126918,0.05627143972495963,0.08565379074363583,0.14464713686732628
190109,2026-02-01,Pasco,Pasco,Simon Bolívar,11,43.36,Medio,99.4,1,1.7023698085804353,861.2596271874206,95273.10342364416,1466708.1400000001,10187840.129999999,10300410,175351.07,1126985540.3982868,11829,0.125,0.4531993654151243,0.5716474594944582,0.7072357920034789,0.076375,-0.07568429402432576,0.06345286800388486,0.07850317291238615,0.14264674689194523
