DEPARTAMENTO,PROVINCIA,DISTRITO,2019,2020,2021,2022,2023,2024,2025,2026
AMAZONAS,BAGUA,ARAMANGO,10300,10149,10049,9919,9770,9613,9458,9304
AMAZONAS,BAGUA,BAGUA,29540,29905,30240,30479,30652,30790,30921,31045
AMAZONAS,BAGUA,COPALLIN,4787,4660,4563,4452,4334,4213,4093,3975
AMAZONAS,BAGUA,EL PARCO,1292,1287,1281,1273,1262,1251,1240,1227
AMAZONAS,BAGUA,IMAZA,31300,32136,32789,33338,33812,34240,34658,35062
AMAZONAS,BAGUA,LA PECA,6631,6535,6453,6374,6299,6226,6155,6086
AMAZONAS,BONGARÁ,CHISQUILLA,321,319,317,313,310,308,304,300
AMAZONAS,BONGARÁ,CHURUJA,301,301,300,298,295,292,289,286
AMAZONAS,BONGARÁ,COROSHA,819,825,831,835,842,849,856,863
AMAZONAS,BONGARÁ,CUISPES,694,684,673,662,650,638,626,614
AMAZONAS,BONGARÁ,FLORIDA,6409,6397,6380,6353,6321,6283,6245,6206
AMAZONAS,BONGARÁ,JAZAN,7994,7931,7855,7774,7683,7588,7494,7399
AMAZONAS,BONGARÁ,JUMBILLA,1354,1332,1309,1283,1258,1232,1207,1182
AMAZONAS,BONGARÁ,RECTA,219,218,215,216,213,208,205,202
AMAZONAS,BONGARÁ,SAN CARLOS,535,551,565,579,592,606,619,632
AMAZONAS,BONGARÁ,SHIPASBAMBA,1656,1678,1698,1716,1730,1748,1761,1774
AMAZONAS,BONGARÁ,VALERA,868,837,806,775,745,715,687,659
AMAZONAS,BONGARÁ,YAMBRASBAMBA,5802,5757,5706,5645,5581,5513,5445,5376
AMAZONAS,CHACHAPOYAS,ASUNCION,281,278,277,276,273,271,269,267
AMAZONAS,CHACHAPOYAS,BALSAS,1202,1180,1169,1158,1147,1137,1125,1113
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,37870,39051,39691,40274,40817,41335,41843,42342
AMAZONAS,CHACHAPOYAS,CHETO,696,702,705,707,710,713,716,719
AMAZONAS,CHACHAPOYAS,CHILIQUIN,604,589,581,575,568,561,554,547
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1955,1933,1922,1910,1898,1884,1872,1860
AMAZONAS,CHACHAPOYAS,GRANADA,532,539,541,543,546,549,551,553
AMAZONAS,CHACHAPOYAS,HUANCAS,1395,1456,1481,1500,1515,1526,1538,1550
AMAZONAS,CHACHAPOYAS,LA JALCA,4080,3966,3834,3697,3558,3418,3279,3140
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,3845,3815,3799,3781,3759,3738,3716,3693
AMAZONAS,CHACHAPOYAS,LEVANTO,817,803,796,789,781,774,768,762
AMAZONAS,CHACHAPOYAS,MAGDALENA,913,911,910,906,903,900,895,890
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,1507,1534,1561,1586,1609,1631,1653,1675
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,2296,2266,2251,2235,2218,2201,2185,2169
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,503,487,479,472,465,459,452,445
AMAZONAS,CHACHAPOYAS,OLLEROS,429,435,438,441,444,446,448,450
AMAZONAS,CHACHAPOYAS,QUINJALCA,807,792,785,778,770,763,757,751
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,323,323,325,326,329,332,335,338
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,599,590,585,581,576,570,565,560
AMAZONAS,CHACHAPOYAS,SOLOCO,1279,1261,1252,1243,1234,1224,1214,1204
AMAZONAS,CHACHAPOYAS,SONCHE,274,277,279,280,283,286,289,292
